,Year,Model,Metric,Irrigation
21,2015,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,51.53592334841479
22,2015,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-13.248014549704846
23,2015,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,14.821448692309302
24,2016,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,36.9044546386115
25,2016,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,5.877494590690941
26,2016,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,8.261846303863411
27,2017,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,38.40400002250517
28,2017,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,2.504618305452023
29,2017,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,7.6093860279026355
30,2018,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,86.03291002428693
31,2018,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,16.40754554231597
32,2018,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,20.421479051414064
33,2019,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,35.69329935310409
34,2019,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,1.8101766414551057
35,2019,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,7.988550629199584
36,2020,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,69.97957998842722
37,2020,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-11.833396925506639
38,2020,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,11.833396927037048
39,2021,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,99.37525845010126
40,2021,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-25.14092933380737
41,2021,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,25.14092933380737
42,2022,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,37.54363363640968
43,2022,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-6.416305830978075
44,2022,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,6.416305834050343
